Title,Ratings,Original_Price,Manufacturing_Date,Expiry_Date,total_days,Demand,Demand_rank,days_remaining,Discount_Percentage,discount,ProductName_encoded
baulimoonfils croissant,4.2,80.0,2024-05-22,2024-06-21,30,Medium,1.0,3,16.0,12.74,61
modernwow pav,3.9,35.0,2024-08-16,2024-09-15,30,Medium,1.0,89,1.67,-77885.42,448
la americanawholewheat,4.0,65.0,2024-11-08,2024-12-08,30,Medium,1.0,173,-12.33,21120228653048.8,396
modernburger supreme,4.0,30.0,2023-12-20,2024-01-19,30,Medium,1.0,0,16.5,Product is expired,446
modernwow pav,3.8,25.0,2022-11-08,2022-12-08,30,Low,0.0,0,19.0,Product is expired,448
modernmedium crust,3.5,27.0,2024-01-23,2024-02-22,30,Low,0.0,0,19.0,Product is expired,447
modernburger supreme,4.0,30.0,2024-11-24,2024-12-24,30,Medium,1.0,189,-15.0,290922317350343.56,446
modernwow pav,3.8,25.0,2024-04-03,2024-05-03,30,Low,0.0,0,19.0,Product is expired,448
modernmedium crust,3.5,27.0,2024-12-18,2025-01-17,30,Low,0.0,213,-16.5,3.499659132429112e+16,447
bonn breadhigh,3.6,50.0,2024-04-05,2024-05-05,30,Low,0.0,0,19.0,Product is expired,177
harvest gold100%,3.9,60.0,2025-01-08,2025-02-07,30,Medium,1.0,234,-22.5,7.072103861683797e+18,333
britanniatreat croissant,3.9,80.0,2023-01-16,2023-02-15,30,Medium,1.0,0,16.5,Product is expired,200
wingreens farmsbaked,3.7,300.0,2023-07-27,2023-08-26,30,Low,0.0,0,19.0,Product is expired,729
britanniagobbles choco,4.1,60.0,2023-02-07,2023-03-09,30,Medium,1.0,0,16.5,Product is expired,195
wingreens farmscrispy,3.8,300.0,2024-02-19,2024-03-20,30,Low,0.0,0,19.0,Product is expired,731
baulimoonfils croissant,4.1,80.0,2023-07-31,2023-08-30,30,Medium,1.0,0,16.5,Product is expired,61
la americanawholewheat,4.0,65.0,2024-10-16,2024-11-15,30,Medium,1.0,150,-8.5,146352399761.86,396
bonn breadhigh,3.6,50.0,2023-01-03,2023-02-02,30,Low,0.0,0,19.0,Product is expired,177
harvest gold100%,3.9,60.0,2025-02-06,2025-03-08,30,Medium,1.0,263,-27.33,2.8373554060788997e+21,333
harvest goldmultigrain,3.9,70.0,2023-07-14,2023-08-13,30,Medium,1.0,0,16.5,Product is expired,337
bonn breadwhole,3.9,55.0,2024-11-01,2024-12-01,30,Medium,1.0,166,-11.17,3992323915821.93,187
just breadsbread,3.7,40.0,2023-04-13,2023-05-13,30,Low,0.0,0,19.0,Product is expired,374
bonn breadfrooty,4.0,20.0,2024-01-25,2024-02-24,30,Medium,1.0,0,16.5,Product is expired,175
kalorywhole wheat,3.9,45.0,2023-10-30,2023-11-29,30,Medium,1.0,0,16.5,Product is expired,377
harvest goldmultigrain,3.9,70.0,2024-07-30,2024-08-29,30,Medium,1.0,72,4.5,-14005.11,337
bonn breadwhole,3.9,55.0,2023-04-09,2023-05-09,30,Medium,1.0,0,16.5,Product is expired,187
just breadsbread,3.7,40.0,2022-09-29,2022-10-29,30,Low,0.0,0,19.0,Product is expired,374
bonn breadfrooty,4.0,20.0,2022-10-08,2022-11-07,30,Medium,1.0,0,16.5,Product is expired,175
kalorywhole wheat,3.9,45.0,2023-09-15,2023-10-15,30,Medium,1.0,0,16.5,Product is expired,377
bonn breadpremium,3.9,45.0,2023-03-27,2023-04-26,30,Medium,1.0,0,16.5,Product is expired,181
elitemilk bread4.1279,4.1,50.0,2022-08-18,2022-09-17,30,Medium,1.0,0,16.5,Product is expired,278
elitefamily wonder,4.1,60.0,2023-07-22,2023-08-21,30,Medium,1.0,0,16.5,Product is expired,276
bonn breadmilk,4.0,50.0,2024-10-16,2024-11-15,30,Medium,1.0,150,-8.5,112578769047.58,179
baulimoonfils croissant,4.2,80.0,2023-05-15,2023-06-14,30,Medium,1.0,0,16.5,Product is expired,61
elitemilk bread4.1279,4.1,50.0,2022-08-15,2022-09-14,30,Medium,1.0,0,16.5,Product is expired,278
